"Chronic Absenteeism, 2013-14",,,,
"All Districts, All Schools, All Students",,,,
,,,,
District,District Code,School,School Code,% Chronically Absent
Brookfield School District,0180011,Brookfield High School,0186111,5.1
Brookfield School District,0180011,Center Elementary School,0180311,2.9
Brookfield School District,0180011,Huckleberry Hill Elementary School,0180411,2.7
Brookfield School District,0180011,Whisconier Middle School,0185311,4.5
Brooklyn School District,0190011,Brooklyn Elementary School,0190111,*
Brooklyn School District,0190011,Brooklyn Middle School,0195111,4.5
Canaan School District,0210011,Lee H. Kellogg School,0210111,10.1
Canterbury School District,0220011,Canterbury Elementary School,0220211,*
Canterbury School District,0220011,Dr. Helen Baldwin Middle School,0225111,5.1
Canton School District,0230011,Canton High School,0236111,5.1
Canton School District,0230011,Canton Intermediate School,0230311,12.4
Canton School District,0230011,Canton Middle School,0235111,5.7
Canton School District,0230011,Cherry Brook Primary School,0230211,11.8
Capitol Region Education Council,2410014,Academy of Aerospace and Engineering,2415114,13.9
Capitol Region Education Council,2410014,Academy of Aerospace and Engineering Elementary,2410714,18.9
Capitol Region Education Council,2410014,Ana Grace Academy of the Arts Elementary School,2410614,14.8
Capitol Region Education Council,2410014,Discovery Academy,2418114,12.4
Capitol Region Education Council,2410014,Farmington Valley Regional Diagnostic Center,2419214,*
Capitol Region Education Council,2410014,Glastonbury/East Hartford Magnet School,2410114,8.3
Capitol Region Education Council,2410014,Greater Hartford Academy of  the Arts High School - Full Time,2416414,47.9
Capitol Region Education Council,2410014,Greater Hartford Academy of the Arts Magnet Middle,2415314,14
Capitol Region Education Council,2410014,Integrated Program Models,2419414,*
Capitol Region Education Council,2410014,International Magnet School for Global Citizenship,2410414,13.5
Capitol Region Education Council,2410014,John J. Allison Polaris Center,2419014,0
Capitol Region Education Council,2410014,Lincoln Academy Regional Interdistrict Collaborative,2419614,*
Capitol Region Education Council,2410014,Medical Professions and Teacher Preparation Academy,2416514,17
Capitol Region Education Council,2410014,Metropolitan Learning Center for Global and International Studies,2416114,8.2
Capitol Region Education Council,2410014,Montessori Magnet School,2413114,10
Capitol Region Education Council,2410014,Museum Academy,2410514,9.7
Capitol Region Education Council,2410014,Public Safety Academy,2415214,18.1
Capitol Region Education Council,2410014,Reggio Magnet School of the Arts,2410314,15.2
Capitol Region Education Council,2410014,River Street Early Learning Center (Site 2),2419514,*
Capitol Region Education Council,2410014,River Street School,2419314,17.8
Capitol Region Education Council,2410014,STRIVE (Southern Transition Real-World and Independent Vocational Education Program,2419714,*
Capitol Region Education Council,2410014,Soundbridge,2419114,23.3
Capitol Region Education Council,2410014,Two Rivers Magnet High School,2416714,7
Capitol Region Education Council,2410014,Two Rivers Magnet Middle School,2415014,6.4
Capitol Region Education Council,2410014,University of Hartford Magnet School,2410214,6.3
Chaplin School District,0240011,Chaplin Elementary School,0240211,*
Cheshire School District,0250011,Chapman School,0250111,2.3
Cheshire School District,0250011,Cheshire High School,0256111,8.6
Cheshire School District,0250011,Darcey School,0250211,*
Cheshire School District,0250011,Dodd Middle School,0255111,4.3
Cheshire School District,0250011,Doolittle School,0250611,2.8
Cheshire School District,0250011,Highland School,0250411,3.5
Cheshire School District,0250011,Humiston School,0259011,*
Cheshire School District,0250011,Norton School,0250511,1.9
Chester School District,0260011,Chester Elementary School,0260111,3.2
Clinton School District,0270011,Abraham Pierson School,0270111,5.4
Clinton School District,0270011,Jared Eliot School,0275111,5.7
Clinton School District,0270011,Lewin G. Joel Jr. School,0270311,3.8
Clinton School District,0270011,The Morgan School,0276111,11.7
Colchester School District,0280011,Bacon Academy,0286111,6.9
Colchester School District,0280011,Colchester Elementary School,0280411,3.6
Colchester School District,0280011,Jack Jackter Intermediate School,0280211,3
Colchester School District,0280011,William J. Johnston Middle School,0285111,6
Colebrook School District,0290011,Colebrook Consolidated School,0290111,*
Columbia School District,0300011,Horace W. Porter School,0300111,0
Common Ground High School District,2680013,Common Ground High School,2686113,16.6
Connecticut Technical High School System,9000016,A. I. Prince Technical High School,9001516,11.8
Connecticut Technical High School System,9000016,Bullard-Havens Technical High School,9001116,14.7
Connecticut Technical High School System,9000016,E. C. Goodwin Technical High School,9001916,12.8
Connecticut Technical High School System,9000016,Eli Whitney Technical High School,9001416,30.9
Connecticut Technical High School System,9000016,Ella T. Grasso Southeastern Technical High School,9002716,19.9
Connecticut Technical High School System,9000016,Emmett O'Brien Technical High School,9002516,19.4
