"Chronic Absenteeism, 2013-14",,,,
"All Districts, All Schools, All Students",,,,
,,,,
District,District Code,School,School Code,% Chronically Absent
Ledyard School District,0720011,Ledyard Center School,0720111,5.4
Ledyard School District,0720011,Ledyard High School,0726111,6.7
Ledyard School District,0720011,Ledyard Middle School,0725111,6.9
Lisbon School District,0730011,Lisbon Central School,0730111,4.6
Litchfield School District,0740011,Center School,0740211,4.8
Litchfield School District,0740011,Litchfield High School,0746111,9.8
Litchfield School District,0740011,Litchfield Intermediate School,0740311,4.9
Madison School District,0760011,Daniel Hand High School,0766111,1
Madison School District,0760011,Dr. Robert H. Brown Middle School,0760611,4
Madison School District,0760011,Island Avenue Elementary School,0760211,2
Madison School District,0760011,J. Milton Jeffrey Elementary School,0760111,*
Madison School District,0760011,Kathleen H. Ryerson Elementary School,0760311,2.4
Madison School District,0760011,Walter C. Polson Upper Middle School,0765211,4.3
Manchester School District,0770011,Bowers School,0770111,11.1
Manchester School District,0770011,Buckley School,0770311,4.9
Manchester School District,0770011,Elisabeth M. Bennet Academy,0771711,12.4
Manchester School District,0770011,Highland Park School,0770411,7.4
Manchester School District,0770011,Illing Middle School,0775311,14
Manchester School District,0770011,Keeney School,0770611,8.5
Manchester School District,0770011,Manchester High School,0776111,13.9
Manchester School District,0770011,Manchester Regional Academy,0779011,52.5
Manchester School District,0770011,Manchester Transition Center,0779111,*
Manchester School District,0770011,Martin School,0771611,8.1
Manchester School District,0770011,Robertson School,0771011,9.4
Manchester School District,0770011,Verplanck School,0771211,13.6
Manchester School District,0770011,Waddell School,0771311,6.8
Manchester School District,0770011,Washington School,0771411,18.9
Mansfield School District,0780011,Annie E. Vinton School,0780411,5.2
Mansfield School District,0780011,Dorothy C. Goodwin School,0780211,4
Mansfield School District,0780011,Mansfield Middle School School,0785111,2.4
Mansfield School District,0780011,Southeast Elementary School,0780511,6.5
Marlborough School District,0790011,Elmer Thienes-Mary Hall Elementary School,0790111,*
Meriden School District,0800011,Nathan Hale School,0800711,11.5
Meriden School District,0800011,Benjamin Franklin School,0800111,10.1
Meriden School District,0800011,Casimir Pulaski School,0801111,8.8
Meriden School District,0800011,Francis T. Maloney High School,0806111,21.4
Meriden School District,0800011,Hanover School,0800311,8.6
Meriden School District,0800011,Israel Putnam School,0800411,12.1
Meriden School District,0800011,John Barry School,0800511,17.6
Meriden School District,0800011,Lincoln Middle School,0805211,13.2
Meriden School District,0800011,Orville H. Platt High School,0806211,25.7
Meriden School District,0800011,Roger Sherman School,0800811,10.8
Meriden School District,0800011,Thomas Hooker School,0801011,6.6
Meriden School District,0800011,Washington Middle School,0805411,17.5
Middletown School District,0830011,Bielefield School,0830211,8.1
Middletown School District,0830011,Farm Hill School,0830511,11.5
Middletown School District,0830011,Keigwin Middle School,0831511,1.9
Middletown School District,0830011,Lawrence School,0831311,7
Middletown School District,0830011,MacDonough School,0830911,11
Middletown School District,0830011,Middletown High School,0836211,13.4
Middletown School District,0830011,Moody School,0831211,2.8
Middletown School District,0830011,Snow School,0831111,7.8
Middletown School District,0830011,Spencer School,0830111,4.4
Middletown School District,0830011,Transition to Life Center,0839111,*
Middletown School District,0830011,Wesley School,0831411,6.1
Middletown School District,0830011,Woodrow Wilson Middle School,0835411,14.9
Milford School District,0840011,Calf Pen Meadow School,0840111,*
Milford School District,0840011,East Shore Middle School,0845111,7.2
Milford School District,0840011,Harborside Middle School,0845211,6.5
Milford School District,0840011,J. F. Kennedy School,0841911,7.6
Milford School District,0840011,Jonathan Law High School,0846211,23.6
Milford School District,0840011,Joseph A. Foran High School,0846311,18.4
Milford School District,0840011,Live Oaks School,0841611,5.4
Milford School District,0840011,Mathewson School,0841711,5.4
Milford School District,0840011,Meadowside School,0840711,2.6
Milford School District,0840011,Orange Avenue School,0840811,6
Milford School District,0840011,Orchard Hills School,0841811,3.5
Milford School District,0840011,Pumpkin Delight School,0841011,5.6
Milford School District,0840011,West Shore Middle School,0845311,10.3
Monroe School District,0850011,Fawn Hollow Elementary School,0850511,*
Monroe School District,0850011,Jockey Hollow School,0855211,4.8
Monroe School District,0850011,Masuk High School,0856111,5.6
Monroe School District,0850011,Monroe Elementary School,0850111,2.8
Monroe School District,0850011,Stepney Elementary School,0850311,2.1
Montville School District,0860011,Dr. Charles E. Murphy School,0860711,4.2
Montville School District,0860011,Leonard J. Tyl Middle School,0865111,7
Montville School District,0860011,Mohegan School,0860111,5.6
Montville School District,0860011,Montville High School,0866111,9.1
Montville School District,0860011,Oakdale School,0860511,4
Montville School District,0860011,Palmer Academy,0869011,*
Naugatuck School District,0880011,Andrew Avenue School,0880811,7.1
Naugatuck School District,0880011,City Hill Middle School,0885111,13
Naugatuck School District,0880011,Cross Street Intermediate School,0880211,8.5
Naugatuck School District,0880011,Hillside Intermediate School,0880411,6.4
Naugatuck School District,0880011,Hop Brook Elementary School,0880511,7.3
Naugatuck School District,0880011,Maple Hill School,0880311,7.1
Naugatuck School District,0880011,Naugatuck High School,0886111,25.3
Naugatuck School District,0880011,Salem School,0880611,10.3
Naugatuck School District,0880011,Western School,0880711,5.4
"New Beginnings Inc., Family Academy District",2800013,"New Beginnings Inc., Family Academy",2800113,9.8
New Britain School District,0890011,Alternative Center School,0899111,0
New Britain School District,0890011,CLIMB,0899411,52
New Britain School District,0890011,Chamberlain  Elementary School,0890311,15.2
New Britain School District,0890011,Frank J. DiLoreto School,0891111,11.4
New Britain School District,0890011,Gaffney School,0890511,12.6
New Britain School District,0890011,Holmes School,0890611,8.2
New Britain School District,0890011,House of Arts Letters and Science (HALS)  Academy,0895411,4.2
New Britain School District,0890011,Jefferson School,0890711,6.3
New Britain School District,0890011,Lincoln School,0890811,15.2
New Britain School District,0890011,New Britain High School,0896111,36.2
New Britain School District,0890011,New Britain Transition Center,0899011,0
New Britain School District,0890011,Northend School,0890911,11.5
New Britain School District,0890011,Pulaski Middle School,0895311,22.4
New Britain School District,0890011,Roosevelt Middle School,0895111,23.3
New Britain School District,0890011,Slade Middle School,0895211,18
New Britain School District,0890011,Smalley Academy,0891211,16.2
New Britain School District,0890011,Smith School,0891311,7.1
New Britain School District,0890011,Vance School,0891511,10.2
New Canaan School District,0900011,East School,0900411,3.7
New Canaan School District,0900011,New Canaan High School,0906111,3
New Canaan School District,0900011,Saxe Middle School,0905111,3.6
New Canaan School District,0900011,South School,0900211,*
New Canaan School District,0900011,West School,0900311,*
New Fairfield School District,0910011,Consolidated School,0910111,4.3
New Fairfield School District,0910011,Meeting House Hill School,0910211,*
New Fairfield School District,0910011,New Fairfield High School,0916111,6.1
New Fairfield School District,0910011,New Fairfield Middle School,0915211,4.6
New Hartford School District,0920011,Ann Antolini School,0920311,5.6
New Hartford School District,0920011,Bakerville Consolidated School,0920111,5
New Hartford School District,0920011,New Hartford Elementary School,0920211,*
New Haven School District,0930011,Edgewood School,0931211,9.9
New Haven School District,0930011,Nathan Hale School,0931411,13.7
New Haven School District,0930011,Augusta Lewis Troup School,0931511,18.6
New Haven School District,0930011,Barnard Environmental Magnet School,0930211,14.8
New Haven School District,0930011,Beecher School,0930311,23.9
New Haven School District,0930011,Benjamin Jepson Magnet School,0931811,13
New Haven School District,0930011,Betsy Ross Arts Magnet School,0935511,12
New Haven School District,0930011,Bishop Woods School,0934311,23.5
New Haven School District,0930011,"Celentano BioTech, Health and Medical Magnet School",0934811,13.6
New Haven School District,0930011,Christopher Columbus Academy,0934111,14.1
New Haven School District,0930011,Clemente Leadership Academy,0934211,37.3
New Haven School District,0930011,Clinton Avenue School,0930611,29.4
New Haven School District,0930011,Conte/West Hills Magnet School,0933111,14.1
New Haven School District,0930011,Cooperative High School,0936411,27
New Haven School District,0930011,Davis 21st Century Magnet Elementary School,0930911,11.3
New Haven School District,0930011,Domus Academy,0935611,64.1
New Haven School District,0930011,East Rock Community Magnet School,0934611,21.7
New Haven School District,0930011,Engineering - Science University Magnet School,0931711,12.1
New Haven School District,0930011,Fair Haven School,0931611,21.9
New Haven School District,0930011,High School In The Community,0936611,36.6
New Haven School District,0930011,Hill Central Music Academy,0930711,28.3
New Haven School District,0930011,Hill Regional Career High School,0936311,21.9
New Haven School District,0930011,"Hyde School of Health, Science and Sports Medicine",0936811,37.8
New Haven School District,0930011,James Hillhouse High School,0936211,45.4
New Haven School District,0930011,John C. Daniels,0931311,14.2
New Haven School District,0930011,John S. Martinez School,0930811,23.7
New Haven School District,0930011,Katherine Brennan/Clarence Rogers School,0932111,21.2
New Haven School District,0930011,King/Robinson Magnet School,0933011,20
New Haven School District,0930011,Lincoln-Bassett School,0932011,29.9
New Haven School District,0930011,Mauro-Sheridan Magnet School,0931911,13.6
New Haven School District,0930011,Metropolitan Business Academy,0936011,30.9
New Haven School District,0930011,New Haven Academy,0937011,46.9
New Haven School District,0930011,Polly T. McCabe Center,0939211,*
New Haven School District,0930011,Quinnipiac Real World Math STEM School,0933511,29.4
New Haven School District,0930011,Riverside Education Academy,0939111,78.5
New Haven School District,0930011,Ross/Woodward School,0931011,13
New Haven School District,0930011,Sound School,0936711,16.2
New Haven School District,0930011,Strong 21st Century Communications Magnet and SCSU Lab School,0932811,30.7
New Haven School District,0930011,Truman School,0932911,21.2
New Haven School District,0930011,West Rock Authors Academy,0934911,29.9
New Haven School District,0930011,Wexler/Grant Community School,0933211,29.6
New Haven School District,0930011,Wilbur Cross High School,0936111,47.6
New Haven School District,0930011,Worthington Hooker School,0933811,9.2
New London School District,0950011,Jennings School,0950311,20.4
New London School District,0950011,Bennie Dover Jackson Middle School,0955111,12.9
New London School District,0950011,Nathan Hale Arts Magnet School,0950911,5
New London School District,0950011,New London High School,0956111,24.4
New London School District,0950011,Winthrop STEM Elementary Magnet School,0950811,39
New Milford School District,0960011,Hill And Plain School,0960511,6.3
New Milford School District,0960011,John Pettibone School,0960711,1.9
New Milford School District,0960011,Litchfield Hills Transition Center,0969011,*
New Milford School District,0960011,New Milford High School,0966111,15.5
New Milford School District,0960011,Northville Elementary School,0960811,6
New Milford School District,0960011,Sarah Noble Intermediate School,0960911,4.9
New Milford School District,0960011,Schaghticoke Middle School,0965211,7.6
Newington School District,0940011,Anna Reynolds School,0940611,2.3
Newington School District,0940011,Elizabeth Green School,0940211,3.5
Newington School District,0940011,John Paterson School,0940811,3.2
Newington School District,0940011,John Wallace Middle School,0945311,3
Newington School District,0940011,Martin Kellogg Middle School,0945111,4.4
Newington School District,0940011,Newington High School,0946111,14.2
Newington School District,0940011,Ruth Chaffee School,0940711,3.3
Newtown School District,0970011,Hawley Elementary School,0970111,2.9
Newtown School District,0970011,Head O'Meadow Elementary School,0970411,3.9
Newtown School District,0970011,Middle Gate Elementary School,0970311,4.8
Newtown School District,0970011,Newtown High School,0976111,2.8
Newtown School District,0970011,Newtown Middle School,0975111,7.1
Newtown School District,0970011,Reed Intermediate School,0970511,3.8
Newtown School District,0970011,STARR,0979011,*
Newtown School District,0970011,Sandy Hook Elementary School,0970211,6.3
Norfolk School District,0980011,Botelle Elementary School,0980111,5.9
Norfolk School District,0980011,Bridges II,0989211,*
North Branford School District,0990011,Jerome Harrison School,0990411,3.6
North Branford School District,0990011,North Branford High School,0996111,7.4
North Branford School District,0990011,North Branford Intermediate School,0995111,5.3
North Branford School District,0990011,School to Work Program,0999011,*
North Branford School District,0990011,Totoket Valley Elementary School,0990611,1.7
North Canaan School District,1000011,North Canaan Elementary School,1000111,6.1
North Haven School District,1010011,Clintonville Elementary School,1010811,5.6
North Haven School District,1010011,Green Acres Elementary School,1010711,5.6
North Haven School District,1010011,Montowese Elementary School,1010211,4.4
North Haven School District,1010011,North Haven High School,1016111,14.3
North Haven School District,1010011,North Haven Middle School,1015211,7.3
North Haven School District,1010011,Ridge Road Elementary School,1010311,4.7
North Stonington School District,1020011,North Stonington Elementary School,1020111,0
North Stonington School District,1020011,Wheeler High School,1026111,17.3
North Stonington School District,1020011,Wheeler Middle School,1025111,7.7
Norwalk School District,1030011,Brien McMahon High School,1036211,13.6
Norwalk School District,1030011,Brookside Elementary School,1030211,5
Norwalk School District,1030011,Columbus Magnet School,1030311,3.4
Norwalk School District,1030011,Cranbury Elementary School,1030411,4.6
Norwalk School District,1030011,Fox Run Elementary School,1032011,7.4
Norwalk School District,1030011,Jefferson Magnet School,1030711,7.2
Norwalk School District,1030011,Kendall Elementary School,1030811,8.5
Norwalk School District,1030011,Marvin Elementary School,1032211,5.6
Norwalk School District,1030011,Naramake Elementary School,1032111,2.8
Norwalk School District,1030011,Nathan Hale Middle School,1035211,8.9
Norwalk School District,1030011,Norwalk High School,1036111,16.5
Norwalk School District,1030011,Norwalk Pathways Academy at Briggs,1036311,80.3
Norwalk School District,1030011,Ponus Ridge Middle School,1035311,23.1
Norwalk School District,1030011,Roton Middle School,1035511,11.2
Norwalk School District,1030011,Rowayton School,1031311,8.3
Norwalk School District,1030011,Silvermine Elementary School,1032311,8.4
Norwalk School District,1030011,Tracey School,1031411,4.7
Norwalk School District,1030011,West Rocks Middle School,1035411,9.8
Norwalk School District,1030011,Wolfpit School,1032411,3.6
Norwich Free Academy District,9010022,Norwich Free Academy,9016122,31
Norwich School District,1040011,Deborah-Tennant Zinewicz  School,1049111,70.4
Norwich School District,1040011,Hickory Street School,1049011,*
Norwich School District,1040011,John B. Stanton Network School,1041411,9.4
Norwich School District,1040011,Kelly Middle School,1045111,15.7
Norwich School District,1040011,Moriarty Magnet School,1042011,19
Norwich School District,1040011,Samuel Huntington School,1040811,10.9
Norwich School District,1040011,Teachers' Memorial Middle School,1045211,14.3
Norwich School District,1040011,Thomas W. Mahan School,1041711,6.7
Norwich School District,1040011,Uncas Network School,1041911,14.9
Norwich School District,1040011,Veterans' Memorial School,1041811,13
Norwich School District,1040011,Virtual Learning Academy,1049211,*
Norwich School District,1040011,Wequonnoc Magnet School,1041511,15
Odyssey Community School District,2630013,Odyssey Community School,2635113,11.7
Old Saybrook School District,1060011,Kathleen E. Goodwin School,1060211,3.7
Old Saybrook School District,1060011,Old Saybrook Middle School,1065211,3.8
Old Saybrook School District,1060011,Old Saybrook Senior High School,1066111,9.8
Orange School District,1070011,Mary L. Tracy School,1070211,*
Orange School District,1070011,Peck Place School,1070511,5.3
Orange School District,1070011,Race Brook School,1070311,4.7
Orange School District,1070011,Turkey Hill School,1070411,3.8
Oxford School District,1080011,Great Oak School,1085111,6.3
Oxford School District,1080011,Oxford Center School,1080111,3
Oxford School District,1080011,Oxford High School,1086011,16.2
Oxford School District,1080011,Quaker Farms School,1080311,3.5
Park City Prep Charter School District,2830013,Park City Prep Charter School,2835113,6.3
Plainfield School District,1090011,Moosup Elementary School,1090111,5.2
Plainfield School District,1090011,Plainfield Central School,1095111,11.7
Plainfield School District,1090011,Plainfield High School,1096111,18.8
Plainfield School District,1090011,Plainfield Memorial School,1090311,7.7
Plainfield School District,1090011,Shepard Hill Elementary School,1090411,11.1
Plainville School District,1100011,Frank T. Wheeler School,1100411,3.6
Plainville School District,1100011,Linden Street School,1100211,3.8
Plainville School District,1100011,Louis Toffolon School,1100511,3.9
Plainville School District,1100011,Middle School of Plainville,1105211,7.7
Plainville School District,1100011,Plainville High School,1106111,13
Plymouth School District,1110011,Eli Terry Jr. Middle School,1115111,8.9
Plymouth School District,1110011,Harry S. Fisher Elementary School,1110411,13.1
Plymouth School District,1110011,Plymouth Alternative High School,1117111,*
Plymouth School District,1110011,Plymouth Center School,1110211,8
Plymouth School District,1110011,Terryville High School,1116111,6.4
Pomfret School District,1120011,Pomfret Community School,1120111,*
Portland School District,1130011,Brownstone Intermediate School,1130511,5.5
Portland School District,1130011,Gildersleeve School,1130411,*
Portland School District,1130011,Portland High School,1136111,8
Portland School District,1130011,Portland Middle School,1135111,7
Portland School District,1130011,Valley View School,1130211,3.1
Preston School District,1140011,Preston Plains School,1145111,0
Preston School District,1140011,Preston Veterans' Memorial School,1140411,*
Putnam School District,1160011,Helping Hands,1169011,*
Putnam School District,1160011,Putnam Elementary School,1160311,6.7
Putnam School District,1160011,Putnam High School,1166111,26
Putnam School District,1160011,Putnam Middle School,1165111,16
Redding School District,1170011,John Read Middle School,1175111,3.7
Redding School District,1170011,Redding Elementary School,1170111,0
Regional School District 01,2010012,Housatonic Valley Regional High School,2016112,3.3
Regional School District 04,2040012,John Winthrop Middle School,2045112,7.9
Regional School District 04,2040012,Valley Regional High School,2046112,10.9
Regional School District 05,2050012,Amity Middle School: Bethany,2055112,3.8
Regional School District 05,2050012,Amity Middle School: Orange,2055212,3.9
Regional School District 05,2050012,Amity Regional High School,2056112,14.9
Regional School District 06,2060012,Goshen Center School,2060112,3.5
Regional School District 06,2060012,James Morris School,2060212,6.6
Regional School District 06,2060012,Wamogo Regional High School,2066112,3.3
Regional School District 06,2060012,Warren Elementary School,2060312,8.6
Regional School District 07,2070012,AIM,2079112,*
Regional School District 07,2070012,FLEX,2079012,*
Regional School District 07,2070012,Intensive Learning Program,2079412,*
Regional School District 07,2070012,LINKS,2079212,*
Regional School District 07,2070012,Northwestern Regional High School,2076112,6.1
Regional School District 07,2070012,Northwestern Regional Middle School,2075112,2
Regional School District 07,2070012,STEP,2079312,*
Regional School District 08,2080012,RHAM High School,2086112,15.8
Regional School District 08,2080012,RHAM Middle School,2085112,5.2
Regional School District 08,2080012,Region Alternative High School,2086212,*
Regional School District 09,2090012,Joel Barlow High School,2096112,*
Regional School District 10,2100012,Har-Bur Middle School,2105112,2.4
Regional School District 10,2100012,Harwinton Consolidated School,2100312,6.1
Regional School District 10,2100012,Lake Garda Elementary School,2100212,4.1
Regional School District 10,2100012,Lewis S. Mills High School,2106112,15.3
Regional School District 11,2110012,Parish Hill High School,2116112,4.8
Regional School District 12,2120012,Booth Free School,2120212,*
Regional School District 12,2120012,Shepaug Valley School,2120312,8.3
Regional School District 12,2120012,The Burnham School,2120112,*
Regional School District 12,2120012,Washington Primary School,2120412,6.2
Regional School District 13,2130012,Coginchaug Regional High School,2136112,5
Regional School District 13,2130012,Francis E. Korn School,2130212,*
Regional School District 13,2130012,Frank Ward Strong School,2135112,4.9
Regional School District 13,2130012,Frederick Brewster School,2130112,*
Regional School District 13,2130012,John Lyman School,2130512,2.4
Regional School District 13,2130012,Middlefield Memorial School,2130412,6.1
Regional School District 14,2140012,Bethlehem Elementary School,2140112,*
Regional School District 14,2140012,Mitchell Elementary School,2140212,4.9
Regional School District 14,2140012,Nonnewaug High School,2146112,9.5
Regional School District 14,2140012,Woodbury Middle School,2145112,8.6
Regional School District 15,2150012,Gainfield Elementary School,2150412,6
Regional School District 15,2150012,Long Meadow Elementary School,2150712,3.4
Regional School District 15,2150012,Memorial Middle School,2155212,4.9
Regional School District 15,2150012,Middlebury Elementary School,2150612,4.3
Regional School District 15,2150012,Pomperaug Regional High School,2156212,3.4
Regional School District 15,2150012,Pomperaug School,2150512,3.5
Regional School District 15,2150012,Rochambeau Middle School,2155112,4.5
Regional School District 16,2160012,Algonquin School,2160312,*
Regional School District 16,2160012,Community School,2160212,3.2
Regional School District 16,2160012,Laurel Ledge School,2160112,2.5
Regional School District 16,2160012,Long River Middle School,2165112,2.9
Regional School District 16,2160012,Woodland Regional High School,2166012,10.4
Regional School District 17,2170012,Burr District Elementary School,2170212,4.3
Regional School District 17,2170012,Haddam Elementary School,2170112,2.4
Regional School District 17,2170012,Haddam-Killingworth High School,2176112,7.8
Regional School District 17,2170012,Haddam-Killingworth Middle School,2175112,2.4
Regional School District 17,2170012,Killingworth Elementary School,2170312,2.7
Regional School District 18,2180012,Center School,2180312,6.3
Regional School District 18,2180012,Lyme Consolidated School,2180112,4.4
Regional School District 18,2180012,Lyme-Old Lyme High School,2186112,6.8
Regional School District 18,2180012,Lyme-Old Lyme Middle School,2185112,5.8
Regional School District 18,2180012,Mile Creek School,2180212,5.6
Regional School District 19,2190012,E. O. Smith High School,2196112,15.7
Ridgefield School District,1180011,Barlow Mountain Elementary School,1180811,4.1
Ridgefield School District,1180011,Branchville Elementary School,1180611,1.7
Ridgefield School District,1180011,East Ridge Middle School,1185111,5.1
Ridgefield School District,1180011,Farmingville Elementary School,1180411,4.1
Ridgefield School District,1180011,Ridgebury Elementary School,1180311,4.9
Ridgefield School District,1180011,Ridgefield High School,1186111,9.4
Ridgefield School District,1180011,Ridgefield Transition Program,1189011,*
Ridgefield School District,1180011,Scotland Elementary School,1180511,*
Ridgefield School District,1180011,Scotts Ridge Middle School,1185211,9.3
Ridgefield School District,1180011,Veterans Park Elementary School,1180211,2.4
Rocky Hill School District,1190011,Albert D. Griswold Middle School,1195111,4.9
Rocky Hill School District,1190011,Myrtle H. Stevens School,1190411,6.7
Rocky Hill School District,1190011,Rocky Hill High School,1196111,7.1
Rocky Hill School District,1190011,West Hill School,1190511,6.7
Salem School District,1210011,Salem Elementary School,1210111,*
Salisbury School District,1220011,Salisbury Central School,1220111,4.2
Scotland School District,1230011,Scotland Elementary School,1230111,5.3
Seymour School District,1240011,Bungay School,1240111,*
Seymour School District,1240011,Chatfield-LoPresti School,1240211,9.9
Seymour School District,1240011,Seymour High School,1246111,10.8
Seymour School District,1240011,Seymour Middle School,1245111,10.5
Sharon School District,1250011,Sharon Center School,1250111,*
Shelton School District,1260011,Mohegan School,1260911,2.3
Shelton School District,1260011,Booth Hill School,1261011,3.3
Shelton School District,1260011,Elizabeth Shelton School,1260511,6.3
Shelton School District,1260011,Intermediate School,1265111,10.1
Shelton School District,1260011,Long Hill School,1260811,10.3
Shelton School District,1260011,Perry Hill Elementary School,1261111,4.5
Shelton School District,1260011,Shelton High School,1266111,23.4
Shelton School District,1260011,Sunnyside School,1260611,8.8
Sherman School District,1270011,Sherman School,1270111,7
Side By Side Charter School District,2700013,Side By Side Charter School,2700113,6.2
Simsbury School District,1280011,Central School,1280111,7.5
Simsbury School District,1280011,Henry James Memorial School,1285111,5.2
Simsbury School District,1280011,Latimer Lane School,1280611,3.9
Simsbury School District,1280011,Simsbury High School,1286111,8.3
Simsbury School District,1280011,Squadron Line School,1280711,4.8
Simsbury School District,1280011,Tariffville School,1280311,3.6
Simsbury School District,1280011,Tootin' Hills School,1280411,4.2
Somers School District,1290011,Mabelle B. Avery Middle School,1295111,15.4
Somers School District,1290011,Somers Elementary School,1290411,*
Somers School District,1290011,Somers High School,1296111,15.3
South Windsor School District,1320011,Pleasant Valley School,1320211,2.6
South Windsor School District,1320011,Eli Terry School,1320711,4.3
South Windsor School District,1320011,Orchard Hill School,1320611,6.4
South Windsor School District,1320011,Philip R. Smith School,1320111,1.7
South Windsor School District,1320011,Project Worth Young Adult Academy,1329011,*
South Windsor School District,1320011,South Windsor High School,1326211,0.9
South Windsor School District,1320011,Timothy Edwards School,1325111,4.4
South Windsor School District,1320011,Wapping Elementary School,1320411,5.5
Southington School District,1310011,John F. Kennedy Middle School,1315311,7.4
Southington School District,1310011,Derynoski Elementary School,1311511,6.5
Southington School District,1310011,Flanders Elementary School,1311311,3
Southington School District,1310011,Hatton Elementary School,1310211,4.6
Southington School District,1310011,Joseph A. Depaolo Middle School,1315111,7.1
Southington School District,1310011,Plantsville Elementary School,1310611,2.5
Southington School District,1310011,South End Elementary School,1310711,5.1
Southington School District,1310011,Southington High School,1316211,9.5
Southington School District,1310011,Strong Elementary School,1310811,3.3
Southington School District,1310011,Thalberg Elementary School,1310911,4
Southington School District,1310011,Urbin T. Kelley School,1311411,*
Sprague School District,1330011,Sayles School,1330111,7.8
Stafford School District,1340011,Stafford Elementary School,1340611,2.9
Stafford School District,1340011,Stafford High School,1346111,14
Stafford School District,1340011,Stafford Middle School,1345211,4.9
Stafford School District,1340011,Staffordville School,1340311,8
Stafford School District,1340011,West Stafford School,1340411,*
Stamford Academy District,2820013,Stamford Academy,2826013,*
Stamford School District,1350011,Cloonan School,1355611,10.4
Stamford School District,1350011,Davenport Ridge School,1352011,8.8
Stamford School District,1350011,Dolan School,1355311,3
Stamford School District,1350011,Hart School,1352211,8.7
Stamford School District,1350011,Julia A. Stark School,1351211,5.4
Stamford School District,1350011,K. T. Murphy School,1350511,8.8
Stamford School District,1350011,Newfield School,1350611,11.5
Stamford School District,1350011,Northeast School,1351811,7
Stamford School District,1350011,Rippowam Middle School,1355811,9.6
Stamford School District,1350011,Rogers International School,1350811,3.8
Stamford School District,1350011,Roxbury School,1350911,9.9
Stamford School District,1350011,Scofield Middle School,1355711,5.8
Stamford School District,1350011,Springdale School,1351111,6.8
Stamford School District,1350011,Stamford High School,1356111,15
Stamford School District,1350011,Stillmeadow School,1352111,6.3
Stamford School District,1350011,The Academy of Information Technology,1356411,5.7
Stamford School District,1350011,Toquam Magnet School,1351911,8.3
Stamford School District,1350011,Turn of River School,1355511,14.6
Stamford School District,1350011,Westhill High School,1356311,17.9
Stamford School District,1350011,Westover School,1351411,5.1
Sterling School District,1360011,Sterling Community School,1360311,*
Stonington School District,1370011,Deans Mill School,1370511,4.5
Stonington School District,1370011,Mystic Middle School,1375211,10.5
Stonington School District,1370011,Pawcatuck Middle School,1375111,22.9
Stonington School District,1370011,Stonington High School,1376111,1.8
Stonington School District,1370011,West Broad Street School,1370411,13.1
Stonington School District,1370011,West Vine Street School,1370611,13.7
Stratford School District,1380011,Eli Whitney School,1381311,5.5
Stratford School District,1380011,Bunnell High School,1386211,13.4
Stratford School District,1380011,Chapel School,1380311,9
Stratford School District,1380011,David Wooster Middle School,1385211,10.7
Stratford School District,1380011,Franklin School,1380411,10.6
Stratford School District,1380011,Harry B. Flood Middle School,1385311,12
Stratford School District,1380011,Honeyspot School,1381611,9.6
Stratford School District,1380011,Lordship School,1380811,8.3
Stratford School District,1380011,Nichols School,1380911,7.3
Stratford School District,1380011,Second Hill Lane School,1381011,7.8
Stratford School District,1380011,Secondary STEPS Program,1389111,*
Stratford School District,1380011,Stratford Academy - Johnson House,1381511,6.3
Stratford School District,1380011,Stratford High School,1386111,22.4
Stratford School District,1380011,Strive-Stratford,1389011,*
Stratford School District,1380011,Wilcoxson School,1381411,2.9
Suffield School District,1390011,A. Ward Spaulding School,1390411,16.7
Suffield School District,1390011,McAlister Intermediate School,1390311,8.2
Suffield School District,1390011,Suffield High School,1396111,*
Suffield School District,1390011,Suffield Middle School,1395111,5.2
The Bridge Academy District,2690013,The Bridge Academy,2696113,8.4
The Gilbert School District,9020022,The Gilbert School,9026122,15.8
Thomaston School District,1400011,Black Rock School,1400111,6.3
Thomaston School District,1400011,Thomaston Center School,1400211,4.3
Thomaston School District,1400011,Thomaston High School,1406211,5.1
Thompson School District,1410011,Mary R. Fisher Elementary School,1410111,*
Thompson School District,1410011,Thompson Middle School,1415111,3.8
Thompson School District,1410011,Tourtellotte Memorial High School,1416111,12.4
Tolland School District,1420011,Birch Grove Primary School,1420111,0
Tolland School District,1420011,Tolland High School,1426111,6.5
Tolland School District,1420011,Tolland Intermediate School,1420211,2.6
Tolland School District,1420011,Tolland Middle School,1425111,2.5
Torrington School District,1430011,East School,1430111,9.7
Torrington School District,1430011,Forbes School,1430211,10
Torrington School District,1430011,Southwest School,1430811,8.2
Torrington School District,1430011,Torringford School,1430911,5.5
Torrington School District,1430011,Torrington High School,1436111,27.8
Torrington School District,1430011,Torrington Middle School,1435111,13.1
Torrington School District,1430011,Vogel-Wetmore School,1431311,7.3
Trailblazers Academy District,2780013,Trailblazers Academy,2785113,0
Trumbull School District,1440011,Booth Hill School,1440111,1.6
Trumbull School District,1440011,Daniels Farm School,1440811,2.5
Trumbull School District,1440011,Frenchtown Elementary School,1441011,1.4
Trumbull School District,1440011,Hillcrest Middle School,1445211,3.4
Trumbull School District,1440011,Jane Ryan School,1440411,1.7
Trumbull School District,1440011,Madison Middle School,1445111,3.7
Trumbull School District,1440011,Middlebrook School,1440311,2.8
Trumbull School District,1440011,Tashua School,1440911,*
Trumbull School District,1440011,Trumbull High School,1446111,1.5
