"Chronic Absenteeism, 2011-12",,,,
"All Districts, All Schools, All Students",,,,
,,,,
District,District Code,School,School Code,% Chronically Absent
Unified School District #1,3360015,New Haven Correctional Center,3360915,36.7
Unified School District #1,3360015,Northern Correctional Institution,3362615,*
Unified School District #1,3360015,Osborn Correctional Institution,3361215,48.3
Unified School District #1,3360015,Robinson Correctional Institution,3361315,72
Unified School District #1,3360015,Willard/Cybulski Correctional Institution,3361515,*
Unified School District #1,3360015,York Correctional Institution,3362515,*
Unified School District #2,3470015,Children''s Place School,3470115,*
Unified School District #2,3470015,Riverview School,3470315,64.4
Unified School District #2,3470015,Walter G. Cady School,3476715,*
Union School District,1450011,Union Elementary School,1450111,*
Vernon School District,1460011,Northeast School,1460311,7.4
Vernon School District,1460011,Center Road School,1461411,4.8
Vernon School District,1460011,Lake Street School,1460111,3.7
Vernon School District,1460011,Maple Street School,1460211,15.8
Vernon School District,1460011,Next Step Program (AACBP),1469011,*
Vernon School District,1460011,Rockville High School,1466111,15.8
Vernon School District,1460011,Skinner Road School,1461011,9.1
Vernon School District,1460011,Vernon Center Middle School,1465111,5.9
Voluntown School District,1470011,Voluntown Elementary School,1470111,*
Wallingford School District,1480011,Highland School,1480211,10.5
Wallingford School District,1480011,A.R.T.S. Academy,1489011,78.3
Wallingford School District,1480011,Cook Hill School,1481011,7.3
Wallingford School District,1480011,Dag  Hammarskjold Middle School,1485211,9
Wallingford School District,1480011,Evarts C. Stevens School,1480911,10.5
Wallingford School District,1480011,Harvest Park,1489211,*
Wallingford School District,1480011,James H. Moran Middle School,1485311,9.4
Wallingford School District,1480011,Lyman Hall High School,1486111,12.1
Wallingford School District,1480011,Mark T. Sheehan High School,1486211,8.6
Wallingford School District,1480011,Moses Y. Beach School,1480111,16.7
Wallingford School District,1480011,Multi-Vocational Life Skills Program,1489111,*
Wallingford School District,1480011,Parker Farms School,1480311,13.2
Wallingford School District,1480011,Pond Hill School,1481211,13.5
Wallingford School District,1480011,Rock Hill School,1480411,10.3
Wallingford School District,1480011,Yalesville School,1480811,3.8
Waterbury School District,1510011,West Side Middle School,1515211,21.9
Waterbury School District,1510011,Washington School,1512311,8.5
Waterbury School District,1510011,B. W. Tinker School,1512111,5.1
Waterbury School District,1510011,Bucks Hill School,1510511,15.2
Waterbury School District,1510011,Bunker Hill School,1510611,15.6
Waterbury School District,1510011,Carrington School,1512711,11.8
Waterbury School District,1510011,Crosby High School,1516211,29.2
Waterbury School District,1510011,Driggs School,1510911,24.1
Waterbury School District,1510011,Duggan School,1511611,13.8
Waterbury School District,1510011,Enlightenment School,1519111,86.2
Waterbury School District,1510011,F. J. Kingsbury School,1511411,11.6
Waterbury School District,1510011,Gilmartin School,1512611,10.3
Waterbury School District,1510011,H. S. Chase School,1510711,8
Waterbury School District,1510011,Hopeville School,1511311,15.3
Waterbury School District,1510011,John F. Kennedy High School,1516411,24
Waterbury School District,1510011,Maloney Interdistrict Magnet School,1513111,3.2
Waterbury School District,1510011,Margaret M. Generali Elementary School,1511111,6.9
Waterbury School District,1510011,Michael F. Wallace Middle School,1515111,21
Waterbury School District,1510011,North End Middle School,1515311,20.8
Waterbury School District,1510011,Regan School,1512811,9.7
Waterbury School District,1510011,Rotella Interdistrict Magnet School,1513311,1.7
Waterbury School District,1510011,Sprague School,1512011,13.2
Waterbury School District,1510011,State Street School,1519011,81.1
Waterbury School District,1510011,Walsh School,1512211,19.9
Waterbury School District,1510011,Waterbury Arts Magnet School (High),1516011,15.7
Waterbury School District,1510011,Waterbury Arts Magnet School (Middle),1515011,8.9
Waterbury School District,1510011,Wendell L. Cross School,1510811,6.6
Waterbury School District,1510011,Wilby High School,1516311,30.2
Waterbury School District,1510011,Woodrow Wilson School,1513211,12
Waterford School District,1520011,Clark Lane Middle School,1525111,5.8
Waterford School District,1520011,Great Neck Elementary School,1520211,3.3
Waterford School District,1520011,Oswegatchie Elementary School,1520611,4.5
Waterford School District,1520011,Quaker Hill Elementary School,1520711,5
Waterford School District,1520011,Waterford High School,1526111,11.4
Watertown School District,1530011,Fletcher W. Judson School,1530311,2.8
Watertown School District,1530011,John Trumbull Primary School,1530211,4.1
Watertown School District,1530011,Polk School,1530411,4.1
Watertown School District,1530011,Swift Middle School,1535111,5
Watertown School District,1530011,Watertown High School,1536111,26.8
West Hartford School District,1550011,Smith School,1551711,6.5
West Hartford School District,1550011,Achieve,1559111,*
West Hartford School District,1550011,Aiken School,1551611,2.9
West Hartford School District,1550011,Braeburn School,1550211,2.7
West Hartford School District,1550011,Bristow Middle School,1555311,5.1
West Hartford School District,1550011,Bugbee School,1550411,3.1
West Hartford School District,1550011,Charter Oak International Academy,1550511,4.6
West Hartford School District,1550011,Conard High School,1556111,7.3
West Hartford School District,1550011,Duffy School,1550611,2.3
West Hartford School District,1550011,Hall High School,1556211,6.3
West Hartford School District,1550011,King Philip Middle School,1555111,6.4
West Hartford School District,1550011,Morley School,1550911,3.7
West Hartford School District,1550011,Norfeldt School,1551011,3
West Hartford School District,1550011,STRIVE-West Hartford,1559211,*
West Hartford School District,1550011,Sedgwick Middle School,1555211,6.7
West Hartford School District,1550011,WAAVE (W Hartford Applied Academic/Voc'l Experience),1559011,*
West Hartford School District,1550011,Webster Hill School,1551211,7.3
West Hartford School District,1550011,Whiting Lane School,1551311,5.3
West Hartford School District,1550011,Wolcott School,1551511,4.7
West Haven School District,1560011,Washington School,1561211,8.9
West Haven School District,1560011,Alma E. Pagels School,1560811,6.8
West Haven School District,1560011,Carrigan 5/6 Intermediate School,1565311,13.1
West Haven School District,1560011,Edith E. Mackrille School,1560611,10.4
West Haven School District,1560011,Forest School,1560311,7.3
West Haven School District,1560011,Harry M. Bailey Middle School,1565111,23.3
West Haven School District,1560011,Savin Rock Community School,1561411,12.2
West Haven School District,1560011,Seth G. Haley School,1560411,4.7
West Haven School District,1560011,West Haven High School,1566111,19.5
Westbrook School District,1540011,Daisy Ingraham School,1540211,2.7
Westbrook School District,1540011,Westbrook High School,1546111,7.5
Westbrook School District,1540011,Westbrook Middle School,1545111,4.9
Weston School District,1570011,Hurlbutt Elementary School,1570111,6.3
Weston School District,1570011,Weston High School,1576111,18.5
Weston School District,1570011,Weston Intermediate School,1570211,6.2
Weston School District,1570011,Weston Middle School,1575111,10.2
Westport School District,1580011,Bedford Middle School,1585111,3.4
Westport School District,1580011,Coleytown Elementary School,1580311,1.9
Westport School District,1580011,Coleytown Middle School,1585311,2.6
Westport School District,1580011,Green's Farms School,1580411,2.4
Westport School District,1580011,King's Highway Elementary School,1580511,*
Westport School District,1580011,Long Lots School,1580711,2
Westport School District,1580011,Saugatuck Elementary School,1580811,*
Westport School District,1580011,Staples High School,1586111,1.8
Wethersfield School District,1590011,Alfred W. Hanmer School,1590811,3.9
Wethersfield School District,1590011,Charles Wright School,1591011,4.8
Wethersfield School District,1590011,Emerson-Williams School,1590211,*
Wethersfield School District,1590011,Highcrest School,1591111,2.3
Wethersfield School District,1590011,Samuel B. Webb Elementary School,1591211,3.1
Wethersfield School District,1590011,Silas Deane Middle School,1595211,6.7
Wethersfield School District,1590011,Wethersfield High School,1596111,6.6
Willington School District,1600011,Center School,1600111,5.4
Willington School District,1600011,Hall Memorial School,1605111,4.3
Wilton School District,1610011,Middlebrook School,1615211,6.6
Wilton School District,1610011,Cider Mill School,1610711,3.5
Wilton School District,1610011,Miller-Driscoll School,1610511,2.6
Wilton School District,1610011,Wilton High School,1616111,41
Winchester School District,1620011,Batcheller Early Education Center,1620411,14.7
Winchester School District,1620011,Mary P. Hinsdale School,1620211,8.6
Winchester School District,1620011,Pearson Middle School,1625111,10.6
Windham School District,1630011,Natchaug School,1630111,22.1
Windham School District,1630011,North Windham School,1630311,9.2
Windham School District,1630011,Partial Day Program,1638411,*
Windham School District,1630011,W. B. Sweeney School,1630611,10.3
Windham School District,1630011,Windham Center School,1630511,11.8
Windham School District,1630011,Windham High School,1636111,32.9
Windham School District,1630011,Windham Middle School,1635111,15
Windsor Locks School District,1650011,North Street School,1650111,7.9
Windsor Locks School District,1650011,South Elementary School,1650411,5.1
Windsor Locks School District,1650011,Windsor Locks High School,1656111,17.7
Windsor Locks School District,1650011,Windsor Locks Middle School,1655111,11.1
Windsor School District,1640011,Clover Street School,1640111,2.7
Windsor School District,1640011,John F. Kennedy School,1640811,*
Windsor School District,1640011,Oliver Ellsworth School,1640911,4
Windsor School District,1640011,Poquonock Elementary School,1640511,7
Windsor School District,1640011,Roger Wolcott Early Child Center,1641011,9.7
Windsor School District,1640011,Sage Park Middle School,1645311,6.4
Windsor School District,1640011,Windsor High School,1646111,12.4
Wolcott School District,1660011,Alcott School,1660611,3
Wolcott School District,1660011,Frisbie School,1660211,1.8
Wolcott School District,1660011,Tyrrell Middle School,1665111,2.6
Wolcott School District,1660011,Wakelee School,1660511,1.8
Wolcott School District,1660011,Wolcott High School,1666111,5.6
Woodbridge School District,1670011,Beecher Road Intermediate School,1670211,3.4
Woodbridge School District,1670011,Beecher Road Primary School,1670111,*
Woodstock Academy District,9030022,Woodstock Academy,9036122,6
Woodstock School District,1690011,Woodstock Elementary School,1690211,5.9
Woodstock School District,1690011,Woodstock Middle School,1695111,3.1
