"Chronic Absenteeism, 2011-12",,,,
"All Districts, All Schools, All Students",,,,
,,,,
District,District Code,School,School Code,% Chronically Absent
Bridgeport School District,0150011,Bryant School,0150411,16.7
Bridgeport School District,0150011,Central High School,0156211,22.3
Bridgeport School District,0150011,Cesar Batalla School,0151411,15.6
Bridgeport School District,0150011,Classical Studies Academy,0152111,6
Bridgeport School District,0150011,Columbus School,0150511,21.5
Bridgeport School District,0150011,Cross School,0153911,27.3
Bridgeport School District,0150011,Curiale School,0154211,22.8
Bridgeport School District,0150011,Dunbar School,0154111,27.6
Bridgeport School District,0150011,Edison School,0150711,11.1
Bridgeport School District,0150011,Geraldine Johnson School,0153211,8.5
Bridgeport School District,0150011,Hall School,0151111,12.7
Bridgeport School District,0150011,Hallen School,0151211,15.3
Bridgeport School District,0150011,Harding High School,0156311,45
Bridgeport School District,0150011,High Horizons Magnet School,0154511,2.8
Bridgeport School District,0150011,Hooker School,0151311,7
Bridgeport School District,0150011,Interdistrict Discovery Magnet School,0153711,3.2
Bridgeport School District,0150011,Jettie S. Tisdale School,0152211,23.8
Bridgeport School District,0150011,Longfellow School,0151911,27.3
Bridgeport School District,0150011,Luis Munoz Marin School,0151011,26
Bridgeport School District,0150011,Madison School,0152011,11
Bridgeport School District,0150011,Make The Grade,0159511,62.8
Bridgeport School District,0150011,Multicultural Magnet School,0154611,2.1
Bridgeport School District,0150011,Park City Academy,0159211,76.3
Bridgeport School District,0150011,Park City Magnet School,0151711,3.3
Bridgeport School District,0150011,Read School,0152511,15
Bridgeport School District,0150011,Roosevelt School,0152611,29.5
Bridgeport School District,0150011,Skane Center,0154411,*
Bridgeport School District,0150011,Waltersville School,0153011,18.1
Bridgeport School District,0150011,Winthrop School,0153611,9.3
Bristol School District,0170011,Alternative Special Education Program (ASEP),0179011,26.7
Bristol School District,0170011,Bristol Central High School,0176111,16.4
Bristol School District,0170011,Bristol Eastern High School,0176211,17.1
Bristol School District,0170011,Chippens Hill Middle School,0175111,10.6
Bristol School District,0170011,Clara T. O'Connell School,0170711,17.3
Bristol School District,0170011,Community/Vocational Program,0179211,*
Bristol School District,0170011,Edgewood School,0170311,9.6
Bristol School District,0170011,Ellen P. Hubbell School,0171411,8.2
Bristol School District,0170011,Greene-Hills School,0170511,5.3
Bristol School District,0170011,Ivy Drive School,0171911,6.5
Bristol School District,0170011,John J. Jennings School,0170611,5.8
Bristol School District,0170011,Memorial Boulevard Middle School,0175311,7.2
Bristol School District,0170011,Mountain View School,0171711,6.3
Bristol School District,0170011,Northeast Middle School,0175211,6.6
Bristol School District,0170011,South Side School,0171111,8.6
Bristol School District,0170011,Stafford School,0171211,14.2
Brookfield School District,0180011,Brookfield High School,0186111,6.8
Brookfield School District,0180011,Center Elementary School,0180311,4.7
Brookfield School District,0180011,Huckleberry Hill Elementary School,0180411,3.1
Brookfield School District,0180011,Whisconier Middle School,0185311,3.9
Brooklyn School District,0190011,Brooklyn Elementary School,0190111,4.8
Brooklyn School District,0190011,Brooklyn Middle School,0195111,9.1
Canaan School District,0210011,Lee H. Kellogg School,0210111,10.7
Canterbury School District,0220011,Canterbury Elementary School,0220211,3.4
Canterbury School District,0220011,Dr. Helen Baldwin Middle School,0225111,4.2
Canton School District,0230011,Canton High School,0236111,4.7
Canton School District,0230011,Canton Intermediate School,0230311,4.9
Canton School District,0230011,Canton Middle School,0235111,*
Canton School District,0230011,Cherry Brook Primary School,0230211,4.7
Capitol Region Education Council,2410014,Academy of Aerospace and Engineering,2415114,17.2
Capitol Region Education Council,2410014,CREC Discovery Academy,2418114,*
Capitol Region Education Council,2410014,Farmington Valley Regional Diagnostic Center,2419214,60.6
